,Country,LifeExpectancy,Alcohol
0,Afghanistan,58.193749999999994,0.014375000000000002
1,Albania,75.15624999999999,4.84875
2,Algeria,73.48666666666666,0.4066666666666668
3,Angola,48.79333333333333,5.740666666666666
4,Antigua and Barbuda,74.96666666666667,7.949333333333333
5,Argentina,75.07999999999998,7.966666666666667
6,Armenia,73.30666666666667,3.7026666666666666
7,Australia,81.74666666666667,10.155333333333333
8,Austria,81.47999999999998,12.235999999999999
9,Azerbaijan,70.59999999999998,0.9919999999999999
10,Bahamas,74.16666666666667,10.271333333333331
11,Bahrain,75.64666666666668,1.9346666666666663
12,Bangladesh,69.13333333333331,0.01
13,Barbados,74.28,8.206666666666669
14,Belarus,69.74666666666668,13.497333333333332
15,Belgium,80.65333333333332,11.042666666666666
16,Belize,69.15333333333335,6.252666666666668
17,Benin,57.406666666666666,1.0
18,Bhutan,65.92,0.2786666666666667
19,Bolivia (Plurinational State of),67.08666666666667,3.212
20,Bosnia and Herzegovina,75.87333333333332,4.405333333333333
21,Botswana,55.406666666666666,4.67
22,Brazil,73.27333333333333,7.213333333333333
23,Brunei Darussalam,76.40666666666667,0.3786666666666667
24,Bulgaria,72.74000000000001,10.865333333333332
25,Burkina Faso,55.36,4.241333333333333
26,Burundi,55.266666666666666,4.103333333333334
27,Cabo Verde,72.46666666666667,3.448
28,Cambodia,64.05333333333334,1.4860000000000002
29,Cameroon,53.8,4.141333333333334
30,Canada,81.65333333333334,8.053333333333333
31,Central African Republic,48.24666666666668,1.2313333333333334
32,Chad,50.20666666666667,0.41133333333333333
33,Chile,79.07999999999998,6.978
34,China,74.14000000000001,4.182000000000001
35,Colombia,73.18666666666668,4.419333333333333
36,Comoros,61.45333333333334,0.13466666666666666
37,Congo,58.66666666666667,2.1733333333333333
38,Costa Rica,78.52666666666667,3.924666666666667
39,Croatia,75.99333333333334,12.448000000000002
40,Cuba,77.9,4.190666666666667
41,Cyprus,79.32,10.260666666666667
42,Czechia,76.63333333333334,13.026000000000002
43,Côte d'Ivoire,50.193333333333335,2.8373333333333335
44,Democratic People's Republic of Korea,68.74000000000001,3.0000000000000004
45,Democratic Republic of the Congo,55.41333333333332,1.424
46,Denmark,78.80666666666666,10.707999999999998
47,Djibouti,60.57333333333334,0.7639999999999999
48,Dominican Republic,72.24,6.030666666666666
49,Ecuador,74.62666666666668,3.8073333333333332
50,Egypt,71.0,0.18866666666666668
51,El Salvador,71.62666666666668,2.6926666666666668
52,Equatorial Guinea,55.120000000000005,7.341999999999999
53,Eritrea,60.419999999999995,0.608
54,Estonia,74.76666666666667,9.014666666666665
55,Ethiopia,58.73333333333334,1.0746666666666667
56,Fiji,68.63333333333331,1.462666666666667
57,Finland,80.68666666666667,9.552666666666669
58,France,82.20666666666666,12.40466666666667
59,Gabon,61.99333333333334,7.8773333333333335
60,Gambia,59.35333333333333,2.1346666666666665
61,Georgia,73.44666666666667,5.623333333333334
62,Germany,81.18666666666667,11.628666666666668
63,Ghana,60.76,1.2686666666666666
64,Greece,81.23333333333333,8.803333333333333
65,Grenada,73.27333333333333,8.843333333333334
66,Guatemala,71.72,2.268666666666667
67,Guinea,55.813333333333325,0.16466666666666666
68,Guinea-Bissau,55.13333333333333,2.2600000000000002
69,Guyana,65.6,7.406000000000001
70,Haiti,59.62666666666667,5.486
71,Honduras,72.88666666666667,3.0420000000000003
72,Hungary,73.69333333333333,11.427333333333333
73,Iceland,82.42666666666666,7.466
74,India,65.22666666666666,1.942
75,Indonesia,67.45333333333332,0.0686666666666667
76,Iran (Islamic Republic of),73.74666666666667,0.016
77,Iraq,70.45333333333335,0.13466666666666666
78,Ireland,80.06666666666666,12.654
79,Israel,81.22000000000001,2.497333333333334
80,Italy,82.15333333333334,8.266666666666667
81,Jamaica,74.16666666666666,3.6239999999999997
82,Japan,82.46,7.040666666666667
83,Jordan,72.91333333333333,0.5173333333333333
84,Kazakhstan,66.41333333333334,6.641333333333333
85,Kenya,57.086666666666666,1.6019999999999999
86,Kiribati,65.07333333333332,0.4406666666666667
87,Kuwait,73.78666666666666,0.021333333333333336
88,Kyrgyzstan,68.94666666666669,2.267333333333333
89,Lao People's Democratic Republic,62.160000000000004,3.505333333333334
90,Latvia,73.67333333333333,8.864
91,Lebanon,74.15333333333334,1.7853333333333339
92,Lesotho,48.453333333333326,2.0866666666666664
93,Liberia,57.26666666666666,3.2580000000000005
94,Libya,72.47333333333333,0.01
95,Lithuania,72.75333333333333,12.632666666666667
96,Luxembourg,80.7,11.921999999999999
97,Madagascar,62.559999999999995,0.8200000000000001
98,Malawi,49.33333333333334,0.9193333333333331
99,Malaysia,73.67333333333335,0.49066666666666675
100,Maldives,75.33999999999999,1.4073333333333333
101,Mali,54.72,0.438
102,Malta,80.27333333333333,7.130000000000001
103,Mauritania,62.779999999999994,0.013333333333333334
104,Mauritius,72.58666666666666,2.906666666666667
105,Mexico,75.65333333333334,5.114
106,Micronesia (Federated States of),68.12000000000002,2.1453333333333333
107,Mongolia,65.69333333333333,2.3539999999999996
108,Montenegro,74.45,2.584285714285713
109,Morocco,72.01333333333334,0.5186666666666667
110,Mozambique,53.11333333333334,1.2660000000000002
111,Myanmar,64.04,0.35133333333333333
112,Namibia,60.040000000000006,4.710666666666667
113,Nepal,66.3,0.19
114,Netherlands,81.07999999999998,8.846666666666666
115,New Zealand,81.33749999999999,9.16625
116,Nicaragua,73.36,3.5966666666666667
117,Niger,56.66,0.09133333333333335
118,Nigeria,51.146666666666675,8.646666666666667
119,Norway,81.79375,6.234375000000001
120,Oman,74.72666666666666,0.5346666666666667
121,Pakistan,64.37333333333333,0.026000000000000006
122,Panama,76.40000000000002,6.212
123,Papua New Guinea,61.6,0.5806666666666666
124,Paraguay,73.05333333333334,5.527333333333334
125,Peru,73.54,4.278666666666666
126,Philippines,67.51333333333332,4.510666666666666
127,Poland,75.52666666666667,9.99866666666667
128,Portugal,79.92000000000002,12.211333333333334
129,Qatar,76.95333333333335,1.0813333333333333
130,Republic of Korea,80.36666666666666,8.855333333333334
131,Republic of Moldova,69.83999999999999,9.545333333333334
132,Romania,73.98666666666668,8.968666666666667
133,Russian Federation,67.28,11.127999999999998
134,Rwanda,58.86,5.635999999999999
135,Saint Lucia,73.49333333333334,11.511333333333335
136,Saint Vincent and the Grenadines,73.49333333333334,6.11
137,Samoa,73.59333333333333,2.7039999999999997
138,Sao Tome and Principe,65.00666666666666,4.191333333333334
139,Saudi Arabia,73.4,0.07466666666666667
140,Senegal,62.29333333333333,0.30933333333333335
141,Serbia,73.84666666666665,8.682666666666668
142,Seychelles,72.32000000000001,6.201333333333333
143,Sierra Leone,45.78666666666667,3.154666666666667
144,Singapore,81.47500000000001,1.7625000000000002
145,Slovakia,74.61999999999999,10.473333333333333
146,Slovenia,79.18,10.754666666666669
147,Solomon Islands,67.61333333333333,0.8006666666666665
148,Somalia,53.20666666666667,0.01
149,South Africa,57.14,7.588666666666666
150,Spain,82.02,10.024000000000001
151,Sri Lanka,73.3,2.096
152,Sudan,61.67333333333333,1.458
153,Suriname,69.98,4.984
154,Swaziland,50.82000000000001,4.463333333333334
155,Sweden,82.52666666666666,6.926666666666666
156,Switzerland,82.26,10.337999999999997
157,Syrian Arab Republic,71.27333333333334,0.8046666666666666
158,Tajikistan,66.45333333333333,0.33066666666666666
159,Thailand,72.96,6.131333333333332
160,The former Yugoslav republic of Macedonia,74.00666666666666,1.8586666666666667
161,Timor-Leste,64.52000000000001,0.2353333333333333
